epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8952,2.2055,4.98764,1.72843,0.00075,0.175,0.00047,0.00025,1.93268,4.73623,1.68761,5.001e-05,5.001e-05,5.001e-05
2,40.845,1.84646,4.35606,1.4312,0.00437,0.925,0.00482,0.00272,1.48015,4.14192,1.15729,0.000110914,0.000110914,0.000110914
3,57.6272,1.33734,3.59997,1.07225,0.00453,0.95,0.00698,0.00469,1.17046,4.01805,1.04541,0.000165216,0.000165216,0.000165216
4,74.2358,1.20023,3.13555,0.99634,0.00442,0.90833,0.13779,0.06757,1.19681,4.03929,1.02388,0.000212918,0.000212918,0.000212918
5,90.8904,1.19816,2.49064,1.01151,0.00442,0.90833,0.20617,0.10337,1.18686,3.96493,1.04473,0.000254017,0.000254017,0.000254017
6,107.585,1.19564,2.30461,1.03633,0.00456,0.95,0.17022,0.08465,1.1391,3.92049,1.07948,0.000288516,0.000288516,0.000288516
7,124.603,1.30414,2.17093,1.07781,0.00425,0.88333,0.16237,0.09605,1.15874,3.82998,1.0524,0.000316413,0.000316413,0.000316413
8,141.776,1.19956,2.0476,1.04691,0.00425,0.88333,0.13616,0.08427,1.14583,3.77622,1.04256,0.000337709,0.000337709,0.000337709
9,158.727,1.21584,2.16788,1.02051,0.00455,0.93333,0.12784,0.07999,1.1069,3.74263,1.03646,0.000352404,0.000352404,0.000352404
10,175.687,1.13,1.96106,1.04353,0.0047,0.975,0.10791,0.06818,1.11744,3.683,1.0203,0.000360497,0.000360497,0.000360497
11,192.501,1.08977,2.18263,1.01884,0.00468,0.975,0.05086,0.03002,1.15503,3.8091,1.07225,0.000361989,0.000361989,0.000361989
12,209.257,1.07617,2.25464,0.9742,0.00455,0.95,0.07705,0.05771,1.13423,3.69215,1.05022,0.00035688,0.00035688,0.00035688
13,226.295,1.12386,2.14019,0.98734,0.0047,0.975,0.14935,0.11146,1.17616,3.56181,1.04667,0.000345169,0.000345169,0.000345169
14,244.014,1.10615,2.01699,1.00162,0.00469,0.975,0.18795,0.14626,1.17536,3.51294,1.0506,0.000326857,0.000326857,0.000326857
15,261.136,1.1015,1.99124,0.98413,0.0047,0.975,0.41741,0.28623,1.16803,3.44129,1.06408,0.000301944,0.000301944,0.000301944
16,278.15,1.11203,1.92347,1.02256,0.0047,0.975,0.4728,0.32152,1.17726,3.42898,1.07316,0.000270429,0.000270429,0.000270429
17,294.9,1.03042,1.92181,0.98445,0.0047,0.975,0.49455,0.32962,1.1756,3.38624,1.08391,0.000232313,0.000232313,0.000232313
18,311.713,1.116,1.86921,1.01436,0.0047,0.975,0.56649,0.37661,1.17495,3.27083,1.08746,0.000187596,0.000187596,0.000187596
19,328.68,0.98254,1.7926,0.95245,0.00469,0.975,0.59707,0.3824,1.17883,3.20478,1.09516,0.000136277,0.000136277,0.000136277
20,345.656,1.00153,1.81228,0.94268,0.00469,0.975,0.58591,0.3683,1.18968,3.13571,1.09311,7.83573e-05,7.83573e-05,7.83573e-05
