epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9293,2.40452,4.42141,1.98388,0.00133,0.26734,0.00088,0.00055,1.53251,4.5785,1.41289,0.00010002,0.00010002,0.00010002
2,85.9113,1.61622,3.67066,1.42188,0.00438,0.87761,0.00542,0.00276,1.32881,4.19764,1.12727,0.000208128,0.000208128,0.000208128
3,123.246,1.42578,2.71723,1.18248,0.00471,0.94277,0.02974,0.01393,1.187,3.91836,1.01577,0.000306995,0.000306995,0.000306995
4,161.278,1.42335,2.3032,1.21695,0.00491,0.98329,0.01594,0.00852,1.34169,3.89252,1.10289,0.000396619,0.000396619,0.000396619
5,199.588,1.44743,2.16816,1.23491,0.00491,0.98329,0.00861,0.00391,1.21942,3.96454,1.09263,0.000477002,0.000477002,0.000477002
6,237.337,1.36856,2.0505,1.17616,0.00491,0.98329,0.00667,0.00394,1.23492,3.90198,1.08326,0.000548143,0.000548143,0.000548143
7,274.573,1.3009,1.93606,1.17098,0.0048,0.95781,0.31829,0.17439,1.45459,3.69288,1.15697,0.000610042,0.000610042,0.000610042
8,312.418,1.36345,1.85648,1.1756,0.00476,0.94987,0.38913,0.20273,1.47481,3.68678,1.19004,0.000662699,0.000662699,0.000662699
9,350.147,1.39346,1.84024,1.19271,0.00492,0.98329,0.42746,0.2595,1.38102,3.47454,1.10352,0.000706115,0.000706115,0.000706115
10,387.244,1.33891,1.82905,1.2102,0.52273,0.44027,0.49481,0.26549,1.40515,3.36448,1.14988,0.000740288,0.000740288,0.000740288
11,423.978,1.28759,1.58654,1.12794,0.53428,0.79442,0.54339,0.3269,1.29665,3.24259,1.07675,0.00076522,0.00076522,0.00076522
12,461.963,1.26611,1.58827,1.11482,0.80497,0.1688,0.58371,0.3086,1.46384,3.18222,1.16782,0.000780909,0.000780909,0.000780909
13,499.246,1.28044,1.55777,1.12625,0.78168,0.24505,0.62273,0.35049,1.42684,2.98042,1.13773,0.000787357,0.000787357,0.000787357
14,537.026,1.28648,1.51605,1.12329,0.65423,0.55727,0.67421,0.37191,1.54822,2.69634,1.15917,0.000784564,0.000784564,0.000784564
15,575.091,1.23181,1.43892,1.06349,0.66539,0.63659,0.69203,0.39606,1.55904,2.58281,1.15124,0.000742815,0.000742815,0.000742815
16,613.309,1.17422,1.78689,1.08246,0.74453,0.45865,0.57636,0.25624,1.94834,2.86071,1.34953,0.000676802,0.000676802,0.000676802
17,652.488,1.24383,1.86952,1.14463,0.7072,0.45099,0.57578,0.26622,1.86147,2.86437,1.31788,0.000610789,0.000610789,0.000610789
18,690.589,1.19405,1.81316,1.12353,0.63495,0.5518,0.60988,0.35129,1.51816,2.58326,1.16476,0.000544776,0.000544776,0.000544776
19,727.637,1.11128,1.6635,1.08649,0.61113,0.5987,0.63397,0.30846,1.745,2.50242,1.24546,0.000478762,0.000478762,0.000478762
20,765.59,1.18211,1.60319,1.10399,0.65843,0.7039,0.75286,0.36144,1.76602,2.22308,1.28125,0.000412749,0.000412749,0.000412749
21,803.424,1.08964,1.64857,1.03879,0.65433,0.74102,0.77058,0.41799,1.57901,2.14274,1.20899,0.000346736,0.000346736,0.000346736
22,841.019,1.08656,1.60547,1.08356,0.72445,0.73105,0.79387,0.46816,1.40844,2.05214,1.15323,0.000280723,0.000280723,0.000280723
23,878.129,1.04307,1.51945,1.0359,0.68882,0.7594,0.79736,0.44063,1.48413,1.9386,1.16858,0.00021471,0.00021471,0.00021471
24,914.89,0.99945,1.44292,0.99468,0.65187,0.75856,0.80354,0.41414,1.61746,1.85881,1.21356,0.000148696,0.000148696,0.000148696
25,951.468,1.04968,1.42443,0.9981,0.66103,0.77409,0.80646,0.40836,1.65289,1.8551,1.22968,8.26832e-05,8.26832e-05,8.26832e-05
